Date,Rank,Primary Key,Name,Symbol,Market Cap,Price,Circulating Supply,Snapshot Type,Is Stable
2026-05-28,1,BTCBitcoin,Bitcoin,BTC,1469500883548.0,73325.0,20035756.0,live,False
2026-05-28,2,ETHEthereum,Ethereum,ETH,242970601657.0,2012.46,120685415.2818607,live,False
2026-05-28,4,BNBBNB,BNB,BNB,86141936914.0,639.01,134784702.81,live,False
2026-05-28,5,XRPXRP,XRP,XRP,81443865331.0,1.31,61908311628.0,live,False
2026-05-28,7,SOLSolana,Solana,SOL,47552368403.0,82.18,578334515.3639421,live,False
2026-05-28,8,TRXTRON,TRON,TRX,33403473616.0,0.352279,94811607508.1263,live,False
2026-05-28,10,DOGEDogecoin,Dogecoin,DOGE,15374772789.0,0.099511,154429446383.7052,live,False
2026-05-28,11,HYPEHyperliquid,Hyperliquid,HYPE,13566676760.0,60.94,222445714.0741414,live,False
2026-05-28,13,ZECZcash,Zcash,ZEC,9226215828.0,553.27,16688225.1655448,live,False
2026-05-28,16,ADACardano,Cardano,ADA,8673529330.0,0.234292,37007551099.9152,live,False
