snapshot,balance_filter,script_type_filter,spend_activity_filter,pubkey_count,utxo_count,supply_sats,exposed_pubkey_count,exposed_utxo_count,exposed_supply_sats,estimated_migration_blocks
10000,all,All,active,9,9,23157000000,9,9,23157000000,0.00
10000,all,All,all,9463,9495,50000000000000,9457,9458,47598666000000,3.86
10000,all,All,never_spent,9454,9486,49976843000000,9448,9449,47575509000000,3.86
10000,all,P2PK,active,8,8,23156000000,8,8,23156000000,0.00
10000,all,P2PK,all,9457,9458,47598665000000,9456,9457,47598665000000,3.86
10000,all,P2PK,never_spent,9449,9450,47575509000000,9448,9449,47575509000000,3.86
10000,all,P2PKH,active,1,1,1000000,1,1,1000000,0.00
10000,all,P2PKH,all,6,37,2401335000000,1,1,1000000,0.00
10000,all,P2PKH,never_spent,5,36,2401334000000,0,0,0,0.00
10000,ge1,All,active,8,8,23156000000,8,8,23156000000,0.00
10000,ge1,All,all,9458,9490,49999995000000,9452,9453,47598661000000,3.86
10000,ge1,All,never_spent,9450,9482,49976839000000,9444,9445,47575505000000,3.85
10000,ge1,P2PK,active,8,8,23156000000,8,8,23156000000,0.00
10000,ge1,P2PK,all,9453,9454,47598661000000,9452,9453,47598661000000,3.86
10000,ge1,P2PK,never_spent,9445,9446,47575505000000,9444,9445,47575505000000,3.85
10000,ge1,P2PKH,all,5,36,2401334000000,0,0,0,0.00
10000,ge1,P2PKH,never_spent,5,36,2401334000000,0,0,0,0.00
10000,ge10,All,active,7,7,23056000000,7,7,23056000000,0.00
10000,ge10,All,all,9455,9487,49999595000000,9449,9450,47598261000000,3.86
10000,ge10,All,never_spent,9448,9480,49976539000000,9442,9443,47575205000000,3.85
10000,ge10,P2PK,active,7,7,23056000000,7,7,23056000000,0.00
10000,ge10,P2PK,all,9450,9451,47598261000000,9449,9450,47598261000000,3.86
10000,ge10,P2PK,never_spent,9443,9444,47575205000000,9442,9443,47575205000000,3.85
10000,ge10,P2PKH,all,5,36,2401334000000,0,0,0,0.00
10000,ge10,P2PKH,never_spent,5,36,2401334000000,0,0,0,0.00
10000,ge100,All,all,19,50,2854238000000,15,15,454804000000,0.01
10000,ge100,All,never_spent,19,50,2854238000000,15,15,454804000000,0.01
10000,ge100,P2PK,all,15,15,454804000000,15,15,454804000000,0.01
10000,ge100,P2PK,never_spent,15,15,454804000000,15,15,454804000000,0.01
10000,ge100,P2PKH,all,4,35,2399434000000,0,0,0,0.00
10000,ge100,P2PKH,never_spent,4,35,2399434000000,0,0,0,0.00
10000,ge1000,All,all,3,33,2387533000000,0,0,0,0.00
10000,ge1000,All,never_spent,3,33,2387533000000,0,0,0,0.00
10000,ge1000,P2PKH,all,3,33,2387533000000,0,0,0,0.00
10000,ge1000,P2PKH,never_spent,3,33,2387533000000,0,0,0,0.00
20000,all,All,active,19,19,55424000000,19,19,55424000000,0.01
20000,all,All,all,18973,19024,100000000000000,18957,18958,95290961000000,7.73
20000,all,All,never_spent,18954,19005,99944576000000,18938,18939,95235537000000,7.73
20000,all,P2PK,active,17,17,50423000000,17,17,50423000000,0.01
20000,all,P2PK,all,18956,18957,95285960000000,18955,18956,95285960000000,7.73
20000,all,P2PK,never_spent,18939,18940,95235537000000,18938,18939,95235537000000,7.73
20000,all,P2PKH,active,2,2,5001000000,2,2,5001000000,0.00
20000,all,P2PKH,all,17,67,4714040000000,2,2,5001000000,0.00
20000,all,P2PKH,never_spent,15,65,4709039000000,0,0,0,0.00
20000,ge1,All,active,18,18,55423000000,18,18,55423000000,0.01
20000,ge1,All,all,18963,19014,99999988000000,18949,18950,95290953000000,7.73
20000,ge1,All,never_spent,18945,18996,99944565000000,18931,18932,95235530000000,7.72
20000,ge1,P2PK,active,17,17,50423000000,17,17,50423000000,0.01
20000,ge1,P2PK,all,18949,18950,95285953000000,18948,18949,95285953000000,7.73
20000,ge1,P2PK,never_spent,18932,18933,95235530000000,18931,18932,95235530000000,7.72
20000,ge1,P2PKH,active,1,1,5000000000,1,1,5000000000,0.00
20000,ge1,P2PKH,all,14,64,4714035000000,1,1,5000000000,0.00
20000,ge1,P2PKH,never_spent,13,63,4709035000000,0,0,0,0.00
20000,ge10,All,active,16,16,55179000000,16,16,55179000000,0.01
20000,ge10,All,all,18959,19010,99999444000000,18945,18946,95290409000000,7.73
20000,ge10,All,never_spent,18943,18994,99944265000000,18929,18930,95235230000000,7.72
20000,ge10,P2PK,active,15,15,50179000000,15,15,50179000000,0.01
20000,ge10,P2PK,all,18945,18946,95285409000000,18944,18945,95285409000000,7.73
20000,ge10,P2PK,never_spent,18930,18931,95235230000000,18929,18930,95235230000000,7.72
20000,ge10,P2PKH,active,1,1,5000000000,1,1,5000000000,0.00
20000,ge10,P2PKH,all,14,64,4714035000000,1,1,5000000000,0.00
20000,ge10,P2PKH,never_spent,13,63,4709035000000,0,0,0,0.00
20000,ge100,All,all,23,70,5366588000000,16,16,679804000000,0.01
20000,ge100,All,never_spent,23,70,5366588000000,16,16,679804000000,0.01
20000,ge100,P2PK,all,16,16,679804000000,16,16,679804000000,0.01
20000,ge100,P2PK,never_spent,16,16,679804000000,16,16,679804000000,0.01
20000,ge100,P2PKH,all,7,54,4686784000000,0,0,0,0.00
20000,ge100,P2PKH,never_spent,7,54,4686784000000,0,0,0,0.00
20000,ge1000,All,all,4,47,4792533000000,1,1,225000000000,0.00
20000,ge1000,All,never_spent,4,47,4792533000000,1,1,225000000000,0.00
20000,ge1000,P2PK,all,1,1,225000000000,1,1,225000000000,0.00
20000,ge1000,P2PK,never_spent,1,1,225000000000,1,1,225000000000,0.00
20000,ge1000,P2PKH,all,3,46,4567533000000,0,0,0,0.00
20000,ge1000,P2PKH,never_spent,3,46,4567533000000,0,0,0,0.00
30000,all,All,active,24,27,711772000000,24,27,711772000000,0.01
30000,all,All,all,27347,27413,150000000000000,27323,27327,138784233000000,11.15
30000,all,All,never_spent,27323,27386,149288228000000,27299,27300,138072461000000,11.14
30000,all,P2PK,active,19,19,54770000000,19,19,54770000000,0.01
30000,all,P2PK,all,27319,27320,138127231000000,27318,27319,138127231000000,11.15
30000,all,P2PK,never_spent,27300,27301,138072461000000,27299,27300,138072461000000,11.14
30000,all,P2PKH,active,5,8,657002000000,5,8,657002000000,0.00
30000,all,P2PKH,all,28,93,11872769000000,5,8,657002000000,0.00
30000,all,P2PKH,never_spent,23,85,11215767000000,0,0,0,0.00
30000,ge1,All,active,23,26,711771000000,23,26,711771000000,0.01
30000,ge1,All,all,27338,27404,149999989000000,27315,27319,138784225000000,11.15
30000,ge1,All,never_spent,27315,27378,149288218000000,27292,27293,138072454000000,11.14
30000,ge1,P2PK,active,19,19,54770000000,19,19,54770000000,0.01
30000,ge1,P2PK,all,27312,27313,138127224000000,27311,27312,138127224000000,11.14
30000,ge1,P2PK,never_spent,27293,27294,138072454000000,27292,27293,138072454000000,11.14
30000,ge1,P2PKH,active,4,7,657001000000,4,7,657001000000,0.00
30000,ge1,P2PKH,all,26,91,11872765000000,4,7,657001000000,0.00
30000,ge1,P2PKH,never_spent,22,84,11215764000000,0,0,0,0.00
30000,ge10,All,active,20,23,710727000000,20,23,710727000000,0.01
30000,ge10,All,all,27328,27393,149997645000000,27308,27312,138782681000000,11.14
30000,ge10,All,never_spent,27308,27370,149286918000000,27288,27289,138071954000000,11.13
30000,ge10,P2PK,active,16,16,53726000000,16,16,53726000000,0.01
30000,ge10,P2PK,all,27305,27306,138125680000000,27304,27305,138125680000000,11.14
30000,ge10,P2PK,never_spent,27289,27290,138071954000000,27288,27289,138071954000000,11.13
30000,ge10,P2PKH,active,4,7,657001000000,4,7,657001000000,0.00
30000,ge10,P2PKH,all,23,87,11871965000000,4,7,657001000000,0.00
30000,ge10,P2PKH,never_spent,19,80,11214964000000,0,0,0,0.00
30000,ge100,All,active,2,5,650001000000,2,5,650001000000,0.00
30000,ge100,All,all,33,94,13580238000000,21,24,2388525000000,0.01
30000,ge100,All,never_spent,31,89,12930237000000,19,19,1738524000000,0.01
30000,ge100,P2PK,all,19,19,1738524000000,19,19,1738524000000,0.01
30000,ge100,P2PK,never_spent,19,19,1738524000000,19,19,1738524000000,0.01
30000,ge100,P2PKH,active,2,5,650001000000,2,5,650001000000,0.00
30000,ge100,P2PKH,all,14,75,11841714000000,2,5,650001000000,0.00
30000,ge100,P2PKH,never_spent,12,70,11191713000000,0,0,0,0.00
30000,ge1000,All,active,2,5,650001000000,2,5,650001000000,0.00
30000,ge1000,All,all,9,66,12762918000000,4,7,1875021000000,0.00
30000,ge1000,All,never_spent,7,61,12112917000000,2,2,1225020000000,0.00
30000,ge1000,P2PK,all,2,2,1225020000000,2,2,1225020000000,0.00
30000,ge1000,P2PK,never_spent,2,2,1225020000000,2,2,1225020000000,0.00
30000,ge1000,P2PKH,active,2,5,650001000000,2,5,650001000000,0.00
30000,ge1000,P2PKH,all,7,64,11537898000000,2,5,650001000000,0.00
30000,ge1000,P2PKH,never_spent,5,59,10887897000000,0,0,0,0.00
40000,all,All,active,24,29,2993424000000,24,29,2993424000000,0.01
40000,all,All,all,35259,35362,200000000000000,35219,35225,180547697000000,14.37
40000,all,All,inactive,8,8,18190000000,8,8,18190000000,0.00
40000,all,All,never_spent,35227,35325,196988386000000,35187,35188,177536083000000,14.36
40000,all,P2PK,active,15,15,53388000000,15,15,53388000000,0.01
40000,all,P2PK,all,35210,35211,177607660000000,35209,35210,177607660000000,14.37
40000,all,P2PK,inactive,7,7,18189000000,7,7,18189000000,0.00
40000,all,P2PK,never_spent,35188,35189,177536083000000,35187,35188,177536083000000,14.36
40000,all,P2PKH,active,9,14,2940036000000,9,14,2940036000000,0.01
40000,all,P2PKH,all,49,151,22392340000000,10,15,2940037000000,0.01
40000,all,P2PKH,inactive,1,1,1000000,1,1,1000000,0.00
40000,all,P2PKH,never_spent,39,136,19452303000000,0,0,0,0.00
40000,ge1,All,active,24,29,2993424000000,24,29,2993424000000,0.01
40000,ge1,All,all,35248,35351,199999840000000,35212,35218,180547690000000,14.37
40000,ge1,All,inactive,7,7,18189000000,7,7,18189000000,0.00
40000,ge1,All,never_spent,35217,35315,196988227000000,35181,35182,177536077000000,14.35
40000,ge1,P2PK,active,15,15,53388000000,15,15,53388000000,0.01
40000,ge1,P2PK,all,35204,35205,177607654000000,35203,35204,177607654000000,14.36
40000,ge1,P2PK,inactive,7,7,18189000000,7,7,18189000000,0.00
40000,ge1,P2PK,never_spent,35182,35183,177536077000000,35181,35182,177536077000000,14.35
40000,ge1,P2PKH,active,9,14,2940036000000,9,14,2940036000000,0.01
40000,ge1,P2PKH,all,44,146,22392186000000,9,14,2940036000000,0.01
40000,ge1,P2PKH,never_spent,35,132,19452150000000,0,0,0,0.00
40000,ge10,All,active,21,26,2992480000000,21,26,2992480000000,0.01
40000,ge10,All,all,35234,35336,199996896000000,35202,35208,180545646000000,14.37
40000,ge10,All,inactive,6,6,18089000000,6,6,18089000000,0.00
40000,ge10,All,never_spent,35207,35304,196986327000000,35175,35176,177535077000000,14.35
40000,ge10,P2PK,active,13,13,52544000000,13,13,52544000000,0.01
40000,ge10,P2PK,all,35195,35196,177605710000000,35194,35195,177605710000000,14.36
40000,ge10,P2PK,inactive,6,6,18089000000,6,6,18089000000,0.00
40000,ge10,P2PK,never_spent,35176,35177,177535077000000,35175,35176,177535077000000,14.35
40000,ge10,P2PKH,active,8,13,2939936000000,8,13,2939936000000,0.01
40000,ge10,P2PKH,all,39,140,22391186000000,8,13,2939936000000,0.01
40000,ge10,P2PKH,never_spent,31,127,19451250000000,0,0,0,0.00
40000,ge100,All,active,5,10,2930436000000,5,10,2930436000000,0.00
40000,ge100,All,all,47,147,24139459000000,26,31,4719060000000,0.01
40000,ge100,All,never_spent,42,137,21209023000000,21,21,1788624000000,0.01
40000,ge100,P2PK,all,21,21,1788624000000,21,21,1788624000000,0.01
40000,ge100,P2PK,never_spent,21,21,1788624000000,21,21,1788624000000,0.01
40000,ge100,P2PKH,active,5,10,2930436000000,5,10,2930436000000,0.00
40000,ge100,P2PKH,all,26,126,22350835000000,5,10,2930436000000,0.00
40000,ge100,P2PKH,never_spent,21,116,19420399000000,0,0,0,0.00
40000,ge1000,All,active,4,9,2860436000000,4,9,2860436000000,0.00
40000,ge1000,All,all,17,108,23184672000000,6,11,4085456000000,0.00
40000,ge1000,All,never_spent,13,99,20324236000000,2,2,1225020000000,0.00
40000,ge1000,P2PK,all,2,2,1225020000000,2,2,1225020000000,0.00
40000,ge1000,P2PK,never_spent,2,2,1225020000000,2,2,1225020000000,0.00
40000,ge1000,P2PKH,active,4,9,2860436000000,4,9,2860436000000,0.00
40000,ge1000,P2PKH,all,15,106,21959652000000,4,9,2860436000000,0.00
40000,ge1000,P2PKH,never_spent,11,97,19099216000000,0,0,0,0.00
